date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:16	394892/394892	---M--	200	added ('OK')	image/jpeg	etag:%225a40b88-6068c-51c4a36b6f275%22	http://www.eptc.church/wp-content/uploads/2013/04/slider-1.jpg	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/uploads/2013/04/slider-1.jpg	(from http://www.eptc.church/)
16:58:18	27276/27276	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:08%20GMT	http://www.eptc.church/womens-fellowship/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/womens-fellowship/index.html	(from http://www.eptc.church/)
16:58:20	15248/15248	---M--	200	added ('OK')	application/javascript	etag:%225a828fe-3b90-52ca56ec0b79d%22	http://www.eptc.church/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/plugins/contact-form-7/includes/js/jquery.form.mind03d.js	(from http://www.eptc.church/)
16:58:22	27122/27122	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:12%20GMT	http://www.eptc.church/youth-committee/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/youth-committee/index.html	(from http://www.eptc.church/)
16:58:24	11819/11819	---M--	200	added ('OK')	application/javascript	etag:%225a82914-2e2b-52ca56ec0e295%22	http://www.eptc.church/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.4	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/plugins/contact-form-7/includes/js/scriptseb11.js	(from http://www.eptc.church/)
16:58:26	31275/31275	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:16%20GMT	http://www.eptc.church/sunday-school/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/sunday-school/index.html	(from http://www.eptc.church/)
16:58:27	3866/3866	---M--	200	added ('OK')	application/javascript	etag:%225a410c3-f1a-51c49905a22ed%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/superfish.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/superfish5152.js	(from http://www.eptc.church/)
16:58:29	36029/36029	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:19%20GMT	http://www.eptc.church/activities/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/activities/index.html	(from http://www.eptc.church/)
16:58:30	3386/3386	---M--	200	added ('OK')	application/javascript	etag:%225a410cd-d3a-51c49905d95bb%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/supersub.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/supersub5152.js	(from http://www.eptc.church/)
16:58:32	37931/37931	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:22%20GMT	http://www.eptc.church/youth-fellowship/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/youth-fellowship/index.html	(from http://www.eptc.church/)
16:58:32	3257/3257	---M--	200	added ('OK')	application/javascript	etag:%225a410c5-cb9-51c49905a22ed%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/hoverIntent.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/hoverIntent5152.js	(from http://www.eptc.church/)
16:58:34	31389/31389	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:24%20GMT	http://www.eptc.church/sunday-school-2/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/sunday-school-2/index.html	(from http://www.eptc.church/)
16:58:36	154200/154200	---M--	200	added ('OK')	image/jpeg	etag:%225b42a45-25a58-5281cc8e5dca2%22	http://www.eptc.church/wp-content/uploads/2015/12/DSC03390__.jpg	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/uploads/2015/12/DSC03390__.jpg	(from http://www.eptc.church/)
16:58:36	7515/7515	---M--	200	added ('OK')	application/javascript	etag:%225a410d7-1d5b-51c4990607fd1%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.transit.min.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.transit.min5152.js	(from http://www.eptc.church/)
16:58:38	27279/27279	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:28%20GMT	http://www.eptc.church/general-events/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/general-events/index.html	(from http://www.eptc.church/)
16:58:38	27021/27021	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:28%20GMT	http://www.eptc.church/womens-fellowship-2/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/womens-fellowship-2/index.html	(from http://www.eptc.church/)
16:58:41	26723/26723	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:31%20GMT	http://www.eptc.church/pastorate-committee-2/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/pastorate-committee-2/index.html	(from http://www.eptc.church/)
16:58:41	8301/8301	---M--	200	added ('OK')	application/javascript	etag:%225a410d0-206d-51c49905e1e73%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.easing.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.easing5152.js	(from http://www.eptc.church/)
